         table_name         |           column_name           |        data_type         
 fpb_accused                | updated_at                      | timestamp with time zone
 fpb_additional_crimes      | id                              | bigint
 fpb_additional_crimes      | fpb_accused_id                  | bigint
 fpb_additional_crimes      | crime_no                        | text
 fpb_additional_crimes      | district                        | text
 fpb_additional_crimes      | police_station                  | text
 fpb_additional_crimes      | section_of_law                  | text
 fpb_additional_crimes      | state                           | text
 fpb_additional_crimes      | year                            | text
 fpb_additional_crimes      | payload                         | jsonb
 hierarchy                  | ps_code                         | text
 hierarchy                  | ps_name                         | text
 hierarchy                  | circle_code                     | text
 hierarchy                  | circle_name                     | text
 hierarchy                  | sdpo_code                       | text
 hierarchy                  | sdpo_name                       | text
 hierarchy                  | dist_code                       | text
 hierarchy                  | dist_name                       | text
 hierarchy                  | range_code                      | text
 hierarchy                  | range_name                      | text
 hierarchy                  | sub_zone_code                   | text
 hierarchy                  | sub_zone_name                   | text
 hierarchy                  | zone_code                       | text
 hierarchy                  | zone_name                       | text
 hierarchy                  | adg_code                        | text
 hierarchy                  | adg_name                        | text
 hierarchy                  | ingested_at                     | timestamp with time zone
 hierarchy                  | updated_at                      | timestamp with time zone
 interrogation_reports      | interrogation_report_id         | text
 interrogation_reports      | crime_id                        | text
 interrogation_reports      | person_id                       | text
 interrogation_reports      | physical_features               | jsonb
 interrogation_reports      | commission_of_offence           | jsonb
 interrogation_reports      | present_whereabouts             | jsonb
 interrogation_reports      | share_of_amount_spent           | jsonb
 interrogation_reports      | socio_economic_profile          | jsonb
 interrogation_reports      | other_indulgance_before_offence | text
 interrogation_reports      | other_regular_habits            | text
 interrogation_reports      | time_since_modus_operandi       | text
 interrogation_reports      | date_created_api                | timestamp with time zone
 interrogation_reports      | date_modified_api               | timestamp with time zone
 interrogation_reports      | ingested_at                     | timestamp with time zone
 interrogation_reports      | updated_at                      | timestamp with time zone
 ir_child_rows              | id                              | bigint
 ir_child_rows              | interrogation_report_id         | text
 ir_child_rows              | section_name                    | text
 ir_child_rows              | row_index                       | integer
 ir_child_rows              | related_person_id               | text
 ir_child_rows              | payload                         | jsonb
 mo_seizure_media           | id                              | bigint
 mo_seizure_media           | mo_seizure_id                   | text
 mo_seizure_media           | file_id                         | uuid
 mo_seizure_media           | media_category                  | text
 mo_seizure_media           | media_name                      | text
 mo_seizure_media           | media_type                      | text
 mo_seizure_media           | media_url                       | text
 mo_seizures                | mo_seizure_id                   | text
 mo_seizures                | crime_id                        | text
 mo_seizures                | mo_id                           | text
 mo_seizures                | description                     | text
 mo_seizures                | mo_type                         | text
 mo_seizures                | sub_type                        | text
 mo_seizures                | seq_no                          | text
 mo_seizures                | seized_date                     | text
 mo_seizures                | seized_by                       | text
 mo_seizures                | seized_from                     | text
 mo_seizures                | strength_of_evidence            | text
 mo_seizures                | place_of_seizure                | jsonb
 mo_seizures                | date_created_api                | timestamp with time zone
 mo_seizures                | date_modified_api               | timestamp with time zone
 mo_seizures                | payload                         | jsonb
 mo_seizures                | ingested_at                     | timestamp with time zone
 mo_seizures                | updated_at                      | timestamp with time zone
 pending_fk_queue           | id                              | bigint
 pending_fk_queue           | entity_type                     | text
 pending_fk_queue           | entity_id                       | text
 pending_fk_queue           | missing_ref_type                | text
 pending_fk_queue           | missing_ref_id                  | text
 pending_fk_queue           | payload                         | jsonb
 pending_fk_queue           | created_at                      | timestamp with time zone
 pending_fk_queue           | resolved_at                     | timestamp with time zone
 person_identity_details    | id                              | bigint
 person_identity_details    | person_id                       | text
 person_identity_details    | identity_type                   | text
 person_identity_details    | identity_number                 | text
 person_identity_details    | file_id                         | uuid
 person_media               | id                              | bigint
 person_media               | person_id                       | text
 person_media               | file_id                         | uuid
 person_media               | media_ref                       | text
 persons                    | person_id                       | text
 persons                    | full_name                       | text
 persons                    | surname                         | text
 persons                    | alias                           | text
 persons                    | gender                          | text
 persons                    | age                             | text
 persons                    | dob                             | text
 persons                    | caste                           | text
 persons                    | religion                        | text
 persons                    | nationality                     | text
 persons                    | occupation                      | text
 persons                    | father_husband_name             | text
 persons                    | place_of_birth                  | text
 persons                    | personal_details                | jsonb
 persons                    | contact_details                 | jsonb
 persons                    | present_address                 | jsonb
 persons                    | date_created_api                | timestamp with time zone
 persons                    | date_modified_api               | timestamp with time zone
 persons                    | is_stub                         | boolean
